threads running
pending(188408, 188363) err(0) completed(188247, 188178) inflight(529) tx*: 188119pps, 54Mbps rx*: 188039pps, 54Mbps
pending(423482, 423307) err(0) completed(423321, 423127) inflight(529) tx*: 235074pps, 67Mbps rx*: 234932pps, 67Mbps
pending(658263, 657980) err(0) completed(658077, 657789) inflight(528) tx*: 234756pps, 67Mbps rx*: 234674pps, 67Mbps
pending(889113, 888768) err(0) completed(888920, 888561) inflight(528) tx*: 230875pps, 66Mbps rx*: 230800pps, 66Mbps
pending(1122540, 1122091) err(0) completed(1122378, 1121890) inflight(528) tx*: 233426pps, 67Mbps rx*: 233292pps, 67Mbps
pending(1355991, 1355401) err(0) completed(1355830, 1355226) inflight(528) tx*: 233452pps, 67Mbps rx*: 233335pps, 67Mbps
pending(1586898, 1586244) err(0) completed(1586737, 1586069) inflight(528) tx*: 230907pps, 66Mbps rx*: 230837pps, 66Mbps
pending(1810312, 1809545) err(0) completed(1810126, 1809353) inflight(528) tx*: 223389pps, 64Mbps rx*: 223301pps, 64Mbps
pending(2042605, 2041729) err(0) completed(2042436, 2041535) inflight(528) tx*: 232306pps, 66Mbps rx*: 232171pps, 66Mbps
pending(2275461, 2274513) err(0) completed(2275300, 2274335) inflight(528) tx*: 232868pps, 67Mbps rx*: 232801pps, 67Mbps
pending(2506535, 2505485) err(0) completed(2506355, 2505278) inflight(528) tx*: 231055pps, 66Mbps rx*: 230968pps, 66Mbps
pending(2740938, 2739758) err(0) completed(2740745, 2739551) inflight(528) tx*: 234390pps, 67Mbps rx*: 234273pps, 67Mbps
pending(2968783, 2967542) err(0) completed(2968612, 2967354) inflight(529) tx*: 227867pps, 65Mbps rx*: 227802pps, 65Mbps
pending(3202921, 3201571) err(0) completed(3202742, 3201396) inflight(536) tx*: 234121pps, 67Mbps rx*: 234011pps, 67Mbps
pending(3436075, 3434615) err(0) completed(3435887, 3434408) inflight(538) tx*: 233164pps, 67Mbps rx*: 233044pps, 67Mbps
pending(3671911, 3670387) err(0) completed(3671725, 3670202) inflight(528) tx*: 235822pps, 67Mbps rx*: 235769pps, 67Mbps
pending(3904880, 3903262) err(0) completed(3904709, 3903061) inflight(528) tx*: 232990pps, 67Mbps rx*: 232866pps, 67Mbps
pending(4138388, 4136625) err(0) completed(4138227, 4136450) inflight(528) tx*: 233518pps, 67Mbps rx*: 233375pps, 67Mbps
pending(4370882, 4369071) err(0) completed(4370695, 4368864) inflight(542) tx*: 232480pps, 66Mbps rx*: 232446pps, 66Mbps
pending(4605353, 4603414) err(0) completed(4605192, 4603231) inflight(528) tx*: 234485pps, 67Mbps rx*: 234335pps, 67Mbps
pending(4833393, 4831347) err(0) completed(4833212, 4831172) inflight(544) tx*: 228023pps, 65Mbps rx*: 227941pps, 65Mbps
pending(5065568, 5063481) err(0) completed(5065401, 5063288) inflight(528) tx*: 232186pps, 66Mbps rx*: 232126pps, 66Mbps
pending(5297302, 5295095) err(0) completed(5297123, 5294919) inflight(546) tx*: 231718pps, 66Mbps rx*: 231622pps, 66Mbps
pending(5530446, 5528131) err(0) completed(5530285, 5527956) inflight(528) tx*: 233166pps, 67Mbps rx*: 233036pps, 67Mbps
pending(5762778, 5760408) err(0) completed(5762591, 5760201) inflight(528) tx*: 232306pps, 66Mbps rx*: 232277pps, 66Mbps
pending(5994286, 5991792) err(0) completed(5994125, 5991605) inflight(528) tx*: 231534pps, 66Mbps rx*: 231396pps, 66Mbps
pending(6223237, 6220600) err(0) completed(6223051, 6220421) inflight(528) tx*: 228951pps, 65Mbps rx*: 228796pps, 65Mbps
pending(6435763, 6433072) err(0) completed(6435575, 6432867) inflight(542) tx*: 212517pps, 61Mbps rx*: 212472pps, 61Mbps
pending(6656716, 6653901) err(0) completed(6656555, 6653726) inflight(539) tx*: 220949pps, 63Mbps rx*: 220829pps, 63Mbps
pending(6886914, 6883966) err(0) completed(6886721, 6883759) inflight(534) tx*: 230202pps, 66Mbps rx*: 230065pps, 66Mbps
pending(7114222, 7111229) err(0) completed(7114029, 7111022) inflight(541) tx*: 227299pps, 65Mbps rx*: 227263pps, 65Mbps
pending(7347868, 7344776) err(0) completed(7347689, 7344579) inflight(528) tx*: 233646pps, 67Mbps rx*: 233554pps, 67Mbps
pending(7580695, 7577493) err(0) completed(7580534, 7577318) inflight(529) tx*: 232813pps, 67Mbps rx*: 232710pps, 67Mbps
pending(7814119, 7810865) err(0) completed(7813928, 7810672) inflight(528) tx*: 233426pps, 67Mbps rx*: 233368pps, 67Mbps
pending(8044029, 8040658) err(0) completed(8043836, 8040451) inflight(540) tx*: 229920pps, 66Mbps rx*: 229797pps, 66Mbps
pending(8274960, 8271491) err(0) completed(8274767, 8271284) inflight(540) tx*: 230937pps, 66Mbps rx*: 230833pps, 66Mbps
pending(8500510, 8496993) err(0) completed(8500317, 8496786) inflight(528) tx*: 225564pps, 64Mbps rx*: 225530pps, 64Mbps
pending(8730779, 8727148) err(0) completed(8730615, 8726962) inflight(529) tx*: 230266pps, 66Mbps rx*: 230118pps, 66Mbps
pending(8955728, 8951953) err(0) completed(8955541, 8951746) inflight(528) tx*: 224926pps, 64Mbps rx*: 224814pps, 64Mbps
pending(9185281, 9181444) err(0) completed(9185120, 9181269) inflight(532) tx*: 229560pps, 66Mbps rx*: 229491pps, 66Mbps
pending(9414741, 9410829) err(0) completed(9414580, 9410638) inflight(528) tx*: 229479pps, 66Mbps rx*: 229372pps, 66Mbps
pending(9638771, 9634726) err(0) completed(9638588, 9634528) inflight(528) tx*: 224008pps, 64Mbps rx*: 223911pps, 64Mbps
pending(9867606, 9863501) err(0) completed(9867438, 9863326) inflight(541) tx*: 228841pps, 65Mbps rx*: 228774pps, 65Mbps
pending(10098993, 10094773) err(0) completed(10098813, 10094598) inflight(536) tx*: 231377pps, 66Mbps rx*: 231272pps, 66Mbps
pending(10330874, 10326544) err(0) completed(10330703, 10326346) inflight(528) tx*: 231897pps, 66Mbps rx*: 231774pps, 66Mbps
pending(10562882, 10558484) err(0) completed(10562691, 10558298) inflight(528) tx*: 231988pps, 66Mbps rx*: 231919pps, 66Mbps
p
